id,title,link,publish_time
43,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
44,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
45,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
46,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
47,习近平会见柬埔寨首相洪玛奈,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm,2026-07-17
48,习近平会见泰国总理阿努廷,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm,2026-07-17
49,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm,2026-07-17
50,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm,2026-07-17
51,习近平宣布中国支持全球人工智能发展重大举措,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm,2026-07-17
52,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm,2026-07-17
53,习近平会见哈萨克斯坦总统托卡耶夫,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm,2026-07-16
54,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm,2026-07-15
55,习近平：在庆祝中国共产党成立105周年大会上的讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm,2026-07-15
56,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm,2026-07-15
57,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm,2026-07-14
58,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm,2026-07-13
59,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm,2026-07-11
60,习近平同纳米比亚总统恩代特瓦会谈,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm,2026-07-10
61,习近平对基础教育工作作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm,2026-07-22
62,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm,2026-07-21
63,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
64,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
65,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
66,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
67,习近平会见柬埔寨首相洪玛奈,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm,2026-07-17
68,习近平会见泰国总理阿努廷,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm,2026-07-17
69,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm,2026-07-17
70,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm,2026-07-17
71,习近平宣布中国支持全球人工智能发展重大举措,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm,2026-07-17
72,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm,2026-07-17
73,习近平会见哈萨克斯坦总统托卡耶夫,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm,2026-07-16
74,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm,2026-07-15
75,习近平：在庆祝中国共产党成立105周年大会上的讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm,2026-07-15
76,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm,2026-07-15
77,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm,2026-07-14
78,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm,2026-07-13
79,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm,2026-07-11
80,习近平同纳米比亚总统恩代特瓦会谈,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm,2026-07-10
81,习近平对基础教育工作作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm,2026-07-22
82,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm,2026-07-21
83,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
84,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
85,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
86,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
87,习近平会见柬埔寨首相洪玛奈,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm,2026-07-17
88,习近平会见泰国总理阿努廷,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm,2026-07-17
89,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm,2026-07-17
90,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm,2026-07-17
91,习近平宣布中国支持全球人工智能发展重大举措,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm,2026-07-17
92,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm,2026-07-17
93,习近平会见哈萨克斯坦总统托卡耶夫,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm,2026-07-16
94,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm,2026-07-15
95,习近平：在庆祝中国共产党成立105周年大会上的讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm,2026-07-15
96,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm,2026-07-15
97,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm,2026-07-14
98,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm,2026-07-13
99,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm,2026-07-11
100,习近平同纳米比亚总统恩代特瓦会谈,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm,2026-07-10
101,习近平对基础教育工作作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm,2026-07-22
102,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm,2026-07-21
103,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
104,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
105,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
106,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
107,习近平会见柬埔寨首相洪玛奈,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm,2026-07-17
108,习近平会见泰国总理阿努廷,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm,2026-07-17
109,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm,2026-07-17
110,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm,2026-07-17
111,习近平宣布中国支持全球人工智能发展重大举措,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm,2026-07-17
112,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm,2026-07-17
113,习近平会见哈萨克斯坦总统托卡耶夫,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm,2026-07-16
114,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm,2026-07-15
115,习近平：在庆祝中国共产党成立105周年大会上的讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm,2026-07-15
116,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm,2026-07-15
117,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm,2026-07-14
118,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm,2026-07-13
119,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm,2026-07-11
120,习近平同纳米比亚总统恩代特瓦会谈,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm,2026-07-10
121,习近平对基础教育工作作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm,2026-07-22
122,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm,2026-07-21
123,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
124,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
125,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
126,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
127,习近平会见柬埔寨首相洪玛奈,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm,2026-07-17
128,习近平会见泰国总理阿努廷,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm,2026-07-17
129,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm,2026-07-17
130,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm,2026-07-17
131,习近平宣布中国支持全球人工智能发展重大举措,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm,2026-07-17
132,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm,2026-07-17
133,习近平会见哈萨克斯坦总统托卡耶夫,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm,2026-07-16
134,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm,2026-07-15
135,习近平：在庆祝中国共产党成立105周年大会上的讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm,2026-07-15
136,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm,2026-07-15
137,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm,2026-07-14
138,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm,2026-07-13
139,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm,2026-07-11
140,习近平同纳米比亚总统恩代特瓦会谈,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm,2026-07-10
141,习近平对基础教育工作作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm,2026-07-22
142,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm,2026-07-21
143,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
144,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
145,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
146,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
147,习近平会见柬埔寨首相洪玛奈,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm,2026-07-17
148,习近平会见泰国总理阿努廷,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm,2026-07-17
149,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm,2026-07-17
150,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm,2026-07-17
151,习近平宣布中国支持全球人工智能发展重大举措,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm,2026-07-17
152,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm,2026-07-17
153,习近平会见哈萨克斯坦总统托卡耶夫,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm,2026-07-16
154,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm,2026-07-15
155,习近平：在庆祝中国共产党成立105周年大会上的讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm,2026-07-15
156,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm,2026-07-15
157,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm,2026-07-14
158,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm,2026-07-13
159,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm,2026-07-11
160,习近平同纳米比亚总统恩代特瓦会谈,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm,2026-07-10
161,习近平对基础教育工作作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm,2026-07-22
162,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm,2026-07-21
163,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
164,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
165,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
166,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
167,习近平会见柬埔寨首相洪玛奈,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm,2026-07-17
168,习近平会见泰国总理阿努廷,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm,2026-07-17
169,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm,2026-07-17
170,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm,2026-07-17
171,习近平宣布中国支持全球人工智能发展重大举措,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm,2026-07-17
172,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm,2026-07-17
173,习近平会见哈萨克斯坦总统托卡耶夫,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm,2026-07-16
174,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm,2026-07-15
175,习近平：在庆祝中国共产党成立105周年大会上的讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm,2026-07-15
176,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm,2026-07-15
177,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm,2026-07-14
178,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm,2026-07-13
179,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm,2026-07-11
180,习近平同纳米比亚总统恩代特瓦会谈,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm,2026-07-10
181,习近平对基础教育工作作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm,2026-07-22
182,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm,2026-07-21
183,国家主席习近平任免驻外大使,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm,2026-07-20
184,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm,2026-07-19
185,习近平对重庆彭水县山体崩塌作出重要指示,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm,2026-07-17
186,习近平会见联合国秘书长古特雷斯,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm,2026-07-17
